Estonian,English
on,is
ma,I
ei,not
see,it
et,to
ja,and
kui,than
kas,whether
me,we
mis,what
mida,what
pole,no
jah,yea
oma,your
siis,then
nii,so
olen,I am
oli,was
oled,you are
mu,my
siin,here
kõik,all
nad,they
selle,its
midagi,something
mind,me
te,you
mul,I have
mulle,me
kes,who
su,su
sind,you
kuidas,how
ole,be
ka,also
välja,out
tema,his
mina,me
sinu,yours
miks,Why
veel,more
või,or
meie,U.S
tagasi,ago
sul,you
hea,good
küll,Hawk
sina,you
väga,very
teda,"him, her"
saa,get
seal,there
teie,your
lihtsalt,just
üks,one
need,they
kus,where
oleks,would be
palju,many
tea,know
teha,do
tead,know
siia,here
kuid,but
hästi,well
pärast,after
palun,Please
tean,know
eest,for
olla,to be
sellest,on
tule,come
juba,already
oleme,are
olgu,whether
keegi,someone
isa,father
ainult,only
peale,on
pean,must
tahad,want
neid,them
tahan,want
ju,after all
talle,it
kunagi,ever
sest,because
just,just
tänan,thanks
vaata,Look
ema,mother
mees,man
teed,roads
tee,path
saab,can
tal,it
asi,thing
üle,over
maha,down
läbi,through
vaja,need
meid,us
enam,more
oh,oh
teid,you
olnud,have been
tõesti,really
arvan,I think
vaid,only
kohe,immediately
läheb,goes
koos,together
olete,are
pead,have to
taha,behind
enne,before
tuleb,comes
vastu,against
hei,hey
olema,have
võib,can
aega,time
aru,understanding
täna,today
mine,go
jumal,god
saan,get
anna,anna
üles,up
minna,go
kaks,two
peame,must
korras,okay
sisse,in
öelda,to say
isegi,even
olid,were
sinuga,with you
ise,himself
elu,life
end,himself
kogu,all
ikka,still
kinni,up
peaks,should
muidugi,of course
jaoks,for
pea,head
valmis,ready
teada,unknown
ütles,said
eks,right
rohkem,more
alati,always
teile,to you
lähme,let's go
saad,can
saada,send
võta,take
ning,and
i,i
raha,money
lase,let
ütle,say
siit,from here
kohta,about
praegu,now
liiga,too
sellega,it
minuga,with me
oota,wait
alla,down
kurat,devil
juurde,to
temaga,with him
arvad,think
olin,I had
sinna,there
tore,great
lahti,loose
selles,therein
aeg,time
kindel,firm
näha,to see
kuhu,where
teil,you
peab,must
parem,right
korda,time
iga,age
aitäh,thank you
juhtus,happened
kuule,hear
polnud,was not
head,good
õigus,right
edasi,further
kõige,most
suur,Large
meile,to us
tegema,do
ütlesin,said
teen,teen
ega,nor
inimesed,people
nimi,name
ühe,one
kahju,loss
surnud,dead
tegelikult,really
koju,home
näinud,seen
lähen,I go
võin,I can
noh,well
ilma,without
teinud,done
sain,I got
räägi,speak
kuni,until
teeme,let's do
saanud,received
päris,real
enda,own
näed,you see
vist,whist
toimub,happens
asja,thing
ennast,myself
viga,mistake
arvasin,I thought
sama,same
kaasa,with
aastat,year
läks,went to
kord,time
saame,we can
naine,woman
võid,you
tahab,wants
tähendab,means
väike,small
härra,Mr.
mingi,some
said,received
sai,received
kolm,three
las,Las
mille,which
poleks,would
pane,put
äkki,suddenly
hr,Mr.
töö,working
neile,them
võib-olla,maybe
poiss,boy
jälle,again
tegid,did
ütlesid,said
sõber,friend
suuda,can
all,beneath
kaua,long
aidata,to help
terve,healthy
kena,nice
usu,believe
päeva,days
